Test value: 5000
19	14	82	11
32	5	47	1
7	9	57	1
10	14	30	2
12	27	24	7
17	7	31	2
23	10	34	1
36	8	16	1
5	19	20	3
24	5	4	2
Test value: 10000
8	9	160	3
54	9	8	3
9	6	18	4
15	5	37	3
175	8	56	4
5	11	10	3
5	9	23	3
16	119	40	4
26	7	9	3
11	6	20	3
Test value: 50000
48	17	50	22
30	19	50	30
15	18	46	24
25	18	22	16
12	10	28	20
14	1	32	16
18	0	83	32
32	16	16	32
17	16	16	16
32	16	63	16
Test value: 100000
32	20	16	32
42	133	48	49
65	163	66	40
32	17	48	63
64	97	65	32
32	65	53	33
39	16	49	50
40	19	54	32
9	48	32	32
16	17	151	16
Test value: 1000
16	9	0	0
9	2	0	0
26	2	51	0
15	0	0	0
13	0	0	0
97	16	82	0
0	0	0	0
0	16	19	0
17	16	16	0
32	33	16	0
Test value: 5000
42	0	3	0
2	16	43	0
0	15	44	0
16	16	0	0
16	23	5	0
16	1	16	16
0	16	0	0
0	0	0	16
0	16	0	0
16	17	0	16
Test value: 10000
12	11	0	16
21	0	16	8
16	0	0	15
0	27	49	0
32	16	16	0
0	16	16	0
0	1	16	0
0	19	32	0
16	15	0	16
16	0	0	16
