Test value: 5000
12	10	10	4
13	5	4	1
14	14	25	1
6	4	4	1
7	6	6	2
6	8	12	2
13	6	10	3
10	8	5	2
9	10	4	2
8	4	4	2
Test value: 10000
9	6	9	4
48	40	28	4
9	7	4	3
8	3	6	3
17	19	13	4
27	11	14	4
10	5	5	3
12	7	10	4
10	4	5	3
26	23	14	8
Test value: 50000
51	93	57	20
16	12	38	25
47	19	47	32
68	26	40	19
20	26	27	34
55	19	51	25
28	11	48	17
14	16	13	20
14	13	20	19
23	22	55	15
Test value: 100000
14	18	17	46
21	37	50	27
22	31	36	36
26	35	24	44
32	16	32	49
48	38	32	32
16	32	81	44
48	32	33	32
33	16	49	34
16	49	97	16
Test value: 500000
80	73	81	220
169	93	176	185
75	69	108	130
78	85	112	130
74	94	107	115
96	75	109	152
84	91	108	120
108	92	93	147
62	75	114	138
74	85	103	153
Test value: 1000000
73	106	130	271
158	164	201	283
155	150	219	308
153	155	195	289
147	155	225	277
119	118	158	235
111	116	166	236
121	117	173	246
115	115	159	235
110	107	159	228
Test value: 5000000
470	352	454	1345
575	589	851	1312
577	597	850	1279
570	582	833	1303
622	682	915	1406
695	635	840	1361
590	583	840	1333
562	587	853	1305
587	627	926	1410
629	614	851	1304
Test value: 10000000
796	608	973	2856
1192	1176	1790	2700
1199	1183	1810	2716
1217	1181	1799	2751
1194	1199	1772	2753
1226	1186	1804	2792
1283	1237	1832	2717
1190	1192	1787	2804
1248	1282	1894	2720
1188	1177	1778	2700
